educ,south,nonwh,hispanic,gender,married,marrfem,exper,expersq,union,lnwage,age,manuf,constr,manag,sales,clerical,service,prof,cps85
12,0,0,0,0,0,0,8,64,0,1.215,25,0,0,0,0,0,1,0,0
12,0,0,0,1,1,1,30,900,1,1.6094,47,0,0,0,0,1,0,0,0
6,0,0,1,0,1,0,38,1444,1,2.1401,49,0,1,0,0,0,0,0,0
12,0,0,0,0,1,0,19,361,1,2.0732,36,0,0,0,1,0,0,0,0
12,0,0,0,0,1,0,11,121,0,1.649,28,0,0,0,0,0,0,0,0
8,0,0,0,0,1,0,43,1849,0,1.7148,56,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,2,4,0,1.0986,18,1,0,0,0,0,0,0,0
15,0,0,0,1,0,0,9,81,0,1.8326,29,0,0,1,0,0,0,0,0
16,0,0,0,1,0,0,17,289,0,0.3567,38,0,0,0,0,0,0,1,0
15,0,0,0,0,1,0,23,529,1,2.1547,43,0,0,0,0,1,0,0,0
15,0,0,0,0,1,0,39,1521,1,1.9867,59,1,0,0,0,0,0,1,0
12,0,0,1,1,1,1,5,25,1,1.7047,22,0,0,0,0,1,0,0,0
11,0,0,1,0,1,0,27,729,1,2.1102,43,1,0,0,0,0,0,0,0
12,0,0,1,0,1,0,29,841,0,1.8326,46,1,0,0,0,0,0,0,0
12,0,0,1,0,0,0,7,49,0,1.3083,24,1,0,0,0,0,0,0,0
12,0,0,0,1,0,0,42,1764,1,2.23,59,0,0,0,0,0,1,0,0
18,0,0,0,0,1,0,35,1225,1,2.5257,58,0,0,0,0,0,0,1,0
18,0,0,0,1,1,1,31,961,1,2.3979,54,0,0,0,0,0,0,1,0
6,0,0,1,0,1,0,24,576,0,1.2528,35,1,0,0,0,0,0,0,0
14,0,1,0,0,1,0,14,196,1,2.0794,33,0,0,0,0,0,0,0,0
12,0,0,0,1,0,0,40,1600,1,2.0149,57,0,0,0,0,0,0,1,0
12,0,0,0,1,0,0,10,100,0,1.204,27,0,0,1,0,0,0,0,0
13,0,0,0,1,0,0,3,9,0,1.3863,21,0,0,0,1,0,0,0,0
13,0,0,0,0,0,0,2,4,0,1.2311,20,0,0,0,0,1,0,0,0
15,0,0,1,0,0,0,7,49,0,1.5041,27,0,0,0,0,1,0,0,0
16,0,0,0,0,0,0,29,841,0,2.5997,50,0,0,0,1,0,0,0,0
13,0,0,0,0,1,0,27,729,1,2.238,45,0,0,0,0,0,1,0,0
18,0,0,0,0,0,0,8,64,0,2.3539,31,1,0,0,0,0,0,1,0
10,0,0,0,0,1,0,6,36,1,2.5257,21,0,1,0,0,0,0,0,0
14,0,0,0,1,0,0,2,4,0,0.9361,21,0,0,0,0,0,0,1,0
8,0,0,0,0,0,0,36,1296,1,2.0149,49,0,0,0,0,0,0,0,0
15,0,0,0,1,1,1,23,529,1,1.1314,43,0,0,0,0,0,1,0,0
8,0,0,1,1,1,1,48,2304,1,1.6582,61,1,0,0,0,0,1,0,0
12,0,0,0,0,0,0,21,441,1,2.0677,38,0,0,0,0,1,0,0,0
8,0,0,1,0,1,0,11,121,1,2.082,24,0,1,0,0,0,0,0,0
12,0,0,0,1,1,1,26,676,1,2.1547,43,0,0,0,0,1,0,0,0
16,0,0,0,1,1,1,10,100,0,1.9671,31,0,0,0,0,0,0,1,0
14,0,0,0,0,1,0,37,1369,0,2.7593,56,1,0,0,1,0,0,0,0
13,0,0,0,0,1,0,21,441,0,1.2972,39,0,0,0,0,1,0,0,0
16,0,0,1,1,1,1,21,441,0,1.2528,42,0,0,0,0,1,0,0,0
13,0,0,0,0,0,0,6,36,1,2.3749,24,0,1,0,0,0,0,0,0
12,0,0,0,0,1,0,25,625,1,1.6368,42,0,0,0,0,0,0,1,0
13,0,0,0,0,0,0,5,25,0,1.2321,23,1,0,0,0,0,0,0,0
11,0,0,0,0,0,0,13,169,1,1.7492,29,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,15,225,0,2.3026,36,0,0,0,0,0,0,1,0
12,0,0,0,1,1,1,8,64,0,1.5581,25,0,0,0,0,1,0,0,0
10,0,0,1,0,1,0,8,64,1,1.6094,23,1,0,0,0,0,1,0,0
14,0,0,0,0,1,0,11,121,0,1.5581,30,0,0,0,0,0,0,0,0
12,0,1,0,0,1,0,34,1156,1,2.0541,51,0,0,0,0,0,0,0,0
13,0,0,1,0,0,0,8,64,0,1.8326,26,0,0,0,0,1,0,0,0
12,0,0,0,0,1,0,36,1296,0,1.9459,53,0,0,0,0,0,0,0,0
12,0,0,0,1,1,1,30,900,0,1.8326,47,0,0,0,0,1,0,0,0
16,0,0,0,1,1,1,5,25,1,1.1856,26,0,0,0,0,0,0,1,0
11,0,0,0,1,1,1,13,169,0,0.9118,29,1,0,0,0,0,0,0,0
11,0,0,0,0,0,0,2,4,1,1.8718,18,0,1,0,0,0,0,0,0
9,0,0,0,0,1,0,12,144,1,1.9459,26,1,0,0,0,0,0,0,0
18,0,0,0,0,1,0,24,576,0,2.1691,47,0,0,0,0,0,0,1,0
12,0,1,0,0,1,0,17,289,1,2.0149,34,0,0,0,0,0,0,0,0
8,0,0,0,0,1,0,50,2500,0,1.6448,63,1,0,0,0,0,0,0,0
18,0,0,0,0,1,0,8,64,0,2.1072,31,1,0,1,0,0,0,0,0
12,0,0,0,1,0,0,11,121,1,1.6292,28,1,0,0,0,0,0,0,0
12,0,0,0,0,1,0,7,49,0,1.0594,24,0,0,1,0,0,0,0,0
17,0,0,0,1,1,1,26,676,1,2.1691,48,0,0,0,0,0,0,1,0
8,0,0,1,0,1,0,19,361,0,1.3218,32,0,0,0,0,0,0,0,0
12,0,1,0,1,0,0,13,169,1,1.8555,30,0,0,0,0,1,0,0,0
12,0,0,0,0,1,0,9,81,1,1.7492,26,0,0,0,0,0,0,0,0
14,0,0,0,0,1,0,38,1444,0,1.9661,57,0,0,1,0,0,0,0,0
12,0,0,1,0,0,0,4,16,0,1.1982,21,0,0,0,0,0,1,0,0
14,0,0,0,1,0,0,11,121,0,1.9279,30,0,0,1,0,0,0,0,0
10,0,0,0,0,1,0,43,1849,0,2.3026,58,0,0,1,0,0,0,0,0
11,0,1,0,0,1,0,15,225,0,1.3863,31,1,0,0,0,0,0,0,0
12,0,1,0,0,1,0,31,961,1,-0.47,48,0,0,0,0,1,0,0,0
6,0,1,0,0,1,0,44,1936,1,1.3151,55,1,0,0,0,0,0,0,0
16,0,0,0,0,1,0,16,256,0,2.8994,37,0,0,0,0,0,0,1,0
12,0,0,0,0,1,0,25,625,1,1.9981,42,0,0,0,0,0,0,0,0
14,0,0,0,0,1,0,19,361,1,1.7047,38,0,0,1,0,0,0,0,0
12,0,0,0,1,0,0,3,9,0,1.1787,20,0,0,1,0,0,0,0,0
13,0,0,0,1,0,0,14,196,0,1.6094,32,0,0,0,0,1,0,0,0
12,0,0,0,0,1,0,30,900,0,2.0149,47,1,0,0,0,0,0,0,0
12,0,0,0,0,1,0,32,1024,1,2.4849,49,0,0,0,0,0,1,0,0
10,0,0,0,0,1,0,48,2304,1,2.0794,63,0,0,0,0,1,0,0,0
12,0,0,0,0,0,0,36,1296,1,2.1401,53,0,0,0,0,0,0,0,0
12,0,0,0,1,1,1,7,49,1,1.5828,24,0,0,0,0,1,0,0,0
12,0,0,0,0,1,0,19,361,1,2.3346,36,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,11,121,0,1.6503,34,0,0,0,0,0,0,1,0
13,0,0,0,0,1,0,32,1024,1,1.5476,50,0,0,0,0,0,1,0,0
12,0,0,0,1,1,1,10,100,0,1.7707,27,0,0,0,0,1,0,0,0
14,0,0,0,1,0,0,3,9,0,1.6094,22,1,0,0,0,0,0,1,0
16,0,0,0,1,1,1,10,100,0,1.2947,31,1,0,0,0,1,0,0,0
16,0,0,0,1,1,1,9,81,0,2.0402,30,0,0,1,0,0,0,0,0
12,0,0,0,1,1,1,13,169,1,1.3218,30,1,0,0,0,0,0,0,0
12,0,0,0,0,1,0,20,400,0,1.8563,37,1,0,0,0,1,0,0,0
12,0,0,0,0,1,0,30,900,1,2.1102,47,1,0,0,0,0,0,0,0
12,0,0,0,0,1,0,10,100,1,2.3632,27,0,1,0,0,0,0,0,0
18,0,0,0,1,0,0,17,289,0,0.6707,40,0,0,0,0,0,0,1,0
10,0,0,0,0,1,0,7,49,1,1.579,22,1,0,0,0,0,0,0,0
8,0,0,0,0,1,0,32,1024,0,2.1401,45,0,1,0,0,0,0,0,0
9,0,0,0,0,1,0,36,1296,1,1.663,50,0,1,0,0,0,0,0,0
14,0,0,0,0,1,0,43,1849,0,2.6127,62,1,0,1,0,0,0,0,0
16,0,0,0,0,1,0,9,81,0,2.1691,30,0,0,0,1,0,0,0,0
8,0,0,0,0,1,0,41,1681,1,1.6094,54,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,21,441,1,2.0794,38,0,0,0,0,0,1,0,0
14,0,0,0,0,1,0,26,676,0,1.5141,45,0,0,0,0,0,0,0,0
12,0,0,0,1,1,1,21,441,0,1.1907,38,0,0,0,0,1,0,0,0
12,0,0,0,1,1,1,42,1764,0,1.7918,59,0,0,0,0,1,0,0,0
12,0,0,0,0,1,0,41,1681,0,2.23,58,0,0,0,0,0,0,1,0
13,0,0,0,1,1,1,22,484,0,0.9746,40,0,0,0,0,0,0,0,0
18,0,0,0,0,1,0,10,100,0,2.0412,33,0,0,1,0,0,0,0,0
12,0,0,0,0,0,0,3,9,1,1.7918,20,1,0,0,0,0,0,0,0
14,0,0,0,0,0,0,14,196,0,2.1628,33,0,0,0,0,1,0,0,0
12,0,0,0,0,1,0,24,576,1,2.4849,41,0,1,0,0,0,0,0,0
12,0,0,0,0,1,0,13,169,1,1.7918,30,1,0,0,0,0,0,0,0
12,0,0,0,1,0,0,41,1681,1,1.6956,58,0,0,0,0,0,1,0,0
14,0,0,0,0,1,0,16,256,0,2.5257,35,1,0,0,0,0,0,1,0
12,1,0,0,0,0,0,3,9,0,0.9746,20,0,0,0,0,0,0,0,0
16,1,0,0,0,1,0,27,729,0,2.109,48,0,0,0,0,0,0,1,0
7,1,0,1,1,0,0,31,961,0,1.2947,43,0,0,0,0,0,1,0,0
11,1,0,1,1,0,0,2,4,0,0.9746,18,1,0,0,0,0,0,0,0
12,1,0,1,0,1,0,19,361,0,1.2238,36,0,0,0,1,0,0,0,0
1,1,0,1,0,1,0,47,2209,0,1.204,53,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,1,1,0,1.0473,18,0,0,0,0,0,0,0,0
9,1,0,0,0,1,0,5,25,0,1.8216,19,1,0,0,0,0,0,0,0
12,1,1,0,1,0,0,38,1444,1,1.1394,55,0,0,0,0,0,0,0,0
12,1,0,0,1,0,0,2,4,0,0.9163,19,0,1,0,0,0,0,0,0
12,1,0,1,0,1,0,19,361,0,2.2083,36,0,1,0,0,0,0,0,0
12,1,0,0,0,1,0,38,1444,1,2.1691,55,0,1,0,0,0,0,0,0
12,1,0,1,0,1,0,22,484,0,1.7918,39,0,0,0,0,0,1,0,0
12,1,0,0,0,1,0,6,36,0,1.3863,23,0,0,0,0,0,0,0,0
13,1,0,1,1,1,1,15,225,0,1.8718,33,0,0,0,0,0,0,1,0
12,1,0,0,0,1,0,27,729,0,1.204,44,0,0,0,0,1,0,0,0
12,1,0,0,1,0,0,1,1,0,1.2164,18,0,0,0,0,1,0,0,0
17,1,0,0,1,1,1,12,144,0,1.9095,34,0,0,0,0,0,0,1,0
16,1,0,0,0,1,0,31,961,0,1.7636,52,0,0,1,0,0,0,0,0
10,1,0,0,0,1,0,18,324,0,1.2958,33,0,0,0,0,0,0,0,0
7,1,1,0,1,0,0,33,1089,0,1.3218,45,1,0,0,0,0,0,0,0
6,1,0,1,0,0,0,39,1521,0,1.5669,50,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,4,16,0,1.6094,25,1,0,0,0,0,0,1,0
14,1,0,0,1,0,0,4,16,0,1.4291,23,1,0,0,0,0,0,1,0
14,1,0,0,1,0,0,2,4,0,1.6582,21,1,0,0,0,1,0,0,0
17,1,0,0,0,0,0,4,16,0,1.9058,26,1,0,0,0,0,0,1,0
13,1,0,0,1,0,0,21,441,1,2.0149,39,0,0,0,0,1,0,0,0
4,1,0,1,0,0,0,13,169,0,0.9555,22,0,0,0,0,0,1,0,0
17,1,0,0,0,1,0,18,324,0,2.6455,40,1,0,0,0,0,0,1,0
14,1,0,0,1,0,0,9,81,0,2.5269,28,0,0,1,0,0,0,0,0
16,1,0,0,0,0,0,8,64,0,1.6094,29,1,0,0,0,0,0,1,0
10,1,1,0,0,1,0,35,1225,0,1.3863,50,0,0,0,0,0,0,0,0
6,1,0,1,1,1,1,17,289,0,1.0647,28,1,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1,1,0,1.5261,19,0,0,0,0,0,0,0,0
16,0,0,0,0,1,0,3,9,1,1.4469,24,0,1,0,0,0,0,1,0
10,0,0,0,0,1,0,41,1681,1,1.8718,56,0,0,0,0,0,0,0,0
12,0,0,0,1,1,1,41,1681,1,3.0564,58,0,0,0,0,1,0,0,0
18,0,0,0,0,1,0,36,1296,0,1.8839,59,0,0,0,0,0,0,1,0
10,0,1,0,1,1,1,16,256,1,1.2528,31,1,0,0,0,0,0,0,0
12,0,1,0,1,0,0,36,1296,1,1.5892,53,1,0,0,0,0,0,0,0
12,0,1,0,0,1,0,39,1521,0,1.8205,56,1,0,0,0,0,0,1,0
13,0,0,0,0,1,0,2,4,0,1.7918,20,1,0,0,0,0,0,0,0
15,0,0,0,0,1,0,8,64,0,1.8137,28,1,0,0,0,0,0,0,0
12,0,0,0,0,1,0,35,1225,0,2.1972,52,0,0,0,0,1,0,0,0
12,0,0,0,1,0,0,12,144,0,1.6607,29,0,0,0,0,1,0,0,0
12,0,0,0,1,0,0,11,121,0,1.6094,28,0,0,1,0,0,0,0,0
18,0,1,0,1,0,0,10,100,0,1.8839,33,0,0,0,0,1,0,0,0
16,0,1,0,1,0,0,3,9,0,1.3218,24,0,0,0,0,1,0,0,0
10,0,0,0,0,1,0,48,2304,1,1.2528,63,1,0,0,0,0,0,0,0
15,0,0,0,0,0,0,20,400,1,2.495,40,0,1,1,0,0,0,0,0
6,0,0,0,0,1,0,51,2601,1,1.8718,62,1,0,0,0,0,1,0,0
12,0,0,0,1,1,1,12,144,0,1.2238,29,1,0,0,0,0,0,0,0
10,0,0,0,0,1,0,26,676,0,1.7385,41,1,0,0,0,0,0,0,0
9,0,0,0,1,1,1,34,1156,1,2.0794,48,1,0,0,0,0,0,0,0
13,0,0,0,1,1,1,35,1225,0,1.4453,53,0,0,0,1,0,0,0,0
12,0,0,0,1,0,0,12,144,0,1.4469,29,1,0,0,0,0,0,0,0
11,0,0,0,0,0,0,5,25,0,1.2879,21,0,0,0,1,0,0,0,0
14,0,0,0,0,0,0,8,64,0,1.7492,27,1,0,0,0,0,0,1,0
12,0,0,0,0,1,0,29,841,1,2.0477,46,1,0,0,0,0,0,1,0
7,0,0,0,0,1,0,38,1444,1,1.8326,50,1,0,0,0,0,0,0,0
12,0,0,0,0,1,0,33,1089,0,1.3987,50,0,0,0,0,0,1,0,0
8,0,0,0,0,1,0,42,1764,0,1.8326,55,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,1,1,0,1.9315,22,0,0,0,0,0,0,0,0
13,0,1,0,0,0,0,17,289,1,1.9577,35,1,0,0,0,0,0,0,0
16,0,0,0,1,1,1,5,25,0,1.8326,26,0,0,0,0,0,0,1,0
12,0,0,0,1,0,0,13,169,0,1.2528,30,0,0,0,0,1,0,0,0
12,0,0,0,1,1,1,23,529,0,1.2384,40,1,0,0,0,1,0,0,0
16,0,0,0,1,1,1,12,144,1,0.6131,33,0,0,0,0,0,0,1,0
12,0,1,0,0,1,0,20,400,1,2.0149,37,0,1,0,0,0,0,0,0
13,0,0,0,0,1,0,33,1089,0,2.1691,51,0,0,1,0,0,0,0,0
9,0,0,0,0,1,0,22,484,0,1.43,36,1,0,0,0,0,0,0,0
10,0,0,0,1,0,0,27,729,1,1.6405,42,1,0,0,0,0,0,0,0
14,0,0,0,0,1,0,9,81,1,1.9279,28,0,0,0,0,1,0,0,0
16,0,0,0,0,0,0,5,25,0,1.981,26,0,0,0,0,0,0,1,0
12,0,0,0,0,1,0,8,64,0,1.5581,25,0,0,0,0,0,0,1,0
12,0,0,0,0,1,0,32,1024,1,2.1691,49,0,1,0,0,0,0,0,0
11,0,0,0,0,1,0,12,144,1,2.0149,28,1,0,0,0,0,0,0,0
16,0,0,0,0,0,0,2,4,0,1.9772,23,0,0,0,1,0,0,0,0
12,0,0,0,0,1,0,32,1024,1,1.9033,49,1,0,0,0,1,0,0,0
12,0,0,0,0,1,0,32,1024,0,1.8326,49,0,0,0,0,0,0,0,0
18,0,1,0,0,1,0,13,169,1,2.2571,36,0,0,1,0,0,0,0,0
8,0,0,0,0,1,0,34,1156,1,1.8563,47,0,0,0,0,0,0,0,0
9,0,0,0,1,0,0,16,256,0,-0.078,30,0,0,0,0,0,1,0,0
16,0,0,0,0,1,0,8,64,0,1.674,29,1,0,0,0,0,0,1,0
10,0,1,0,0,0,0,33,1089,0,1.6094,48,0,1,0,0,0,0,0,0
12,0,0,0,0,1,0,24,576,1,2.0794,41,1,0,0,0,0,0,0,0
9,0,1,0,0,1,0,34,1156,1,1.8326,48,1,0,0,0,0,0,0,0
18,0,0,0,0,1,0,30,900,0,2.9208,53,1,0,1,0,0,0,0,0
12,0,0,0,0,0,0,4,16,1,1.1394,21,0,0,0,0,0,1,0,0
16,0,1,0,1,1,1,5,25,0,1.8326,26,0,0,0,0,0,0,1,0
12,0,0,0,1,1,1,5,25,0,1.5841,22,0,0,0,0,1,0,0,0
10,0,0,0,0,1,0,44,1936,1,2.082,59,1,0,0,0,0,0,0,0
11,0,0,0,0,0,0,8,64,0,1.7047,24,1,0,0,0,0,0,0,0
12,0,0,0,1,1,1,26,676,0,1.8245,43,0,0,0,0,1,0,0,0
14,0,0,0,0,1,0,37,1369,0,1.9924,56,1,0,0,1,0,0,0,0
12,0,1,0,1,0,0,20,400,0,1.0296,37,0,0,0,0,0,1,0,0
16,0,1,0,0,1,0,16,256,1,2.2558,37,0,0,0,0,0,0,1,0
12,0,0,0,0,1,0,14,196,0,2.3026,31,0,0,1,0,0,0,0,0
10,0,0,0,1,0,0,15,225,1,1.6376,30,0,0,0,0,1,0,0,0
12,0,0,0,0,0,0,3,9,1,1.5841,20,0,0,0,0,0,0,0,0
16,0,0,0,0,1,0,11,121,0,2.1768,32,0,0,0,1,0,0,0,0
8,0,0,0,0,1,0,40,1600,1,1.8326,53,1,0,0,0,0,0,0,0
12,0,0,0,1,0,0,21,441,0,2.4079,38,0,0,1,0,0,0,0,0
13,0,0,0,0,1,0,3,9,0,1.9636,21,0,0,0,0,0,0,0,0
12,0,0,0,1,0,0,17,289,0,1.9741,34,1,0,0,0,1,0,0,0
12,0,0,0,0,0,0,6,36,0,1.4351,23,0,0,1,0,0,0,0,0
11,1,1,0,0,1,0,28,784,1,2.0794,44,1,0,0,0,0,0,1,0
12,1,0,0,1,1,1,6,36,0,1.204,23,1,0,0,0,0,0,1,0
14,1,0,0,1,0,0,4,16,0,1.2528,23,0,0,0,0,0,1,0,0
12,1,0,0,0,1,0,41,1681,0,2.1691,58,0,1,1,0,0,0,0,0
12,1,0,0,0,0,0,16,256,1,2.0149,33,1,0,0,0,0,0,0,0
12,1,0,0,1,1,1,6,36,0,0.452,23,0,0,0,0,0,1,0,0
12,1,0,0,0,1,0,39,1521,1,2.0794,56,0,0,0,0,0,0,0,0
10,1,0,0,0,1,0,15,225,0,1.6928,30,0,1,0,0,0,0,0,0
12,1,0,0,1,1,1,18,324,0,1.4325,35,0,0,0,0,1,0,0,0
15,1,0,0,0,1,0,7,49,0,1.4929,27,0,0,1,0,0,0,0,0
16,1,0,0,0,1,0,36,1296,0,1.1394,57,0,0,0,1,0,0,0,0
14,1,0,1,1,1,1,6,36,0,1.7237,25,0,0,0,0,0,0,1,0
12,1,1,0,1,0,0,13,169,0,1.5261,30,0,0,1,0,0,0,0,0
13,1,0,0,0,0,0,2,4,0,1.0986,20,0,0,0,0,1,0,0,0
5,1,0,1,0,1,0,50,2500,0,1.1575,60,0,0,0,0,0,1,0,0
12,1,0,1,1,1,1,21,441,0,1.5581,38,1,0,0,0,1,0,0,0
12,1,0,1,0,1,0,28,784,0,1.2936,45,0,0,0,1,0,0,0,0
12,1,0,0,0,1,0,12,144,1,1.4759,29,0,0,0,0,0,1,0,0
15,1,1,0,1,1,1,29,841,0,1.2809,49,0,0,0,0,1,0,0,0
12,1,0,0,0,1,0,7,49,0,1.3863,24,0,1,0,0,0,0,0,0
12,1,0,0,0,1,0,22,484,0,2.1203,39,1,0,1,0,0,0,0,0
12,1,1,0,1,0,0,11,121,0,1.3481,28,0,0,0,0,0,1,0,0
12,0,0,0,1,0,0,40,1600,0,1.5217,57,1,0,0,0,0,0,0,0
12,0,0,0,0,1,0,31,961,0,1.5315,48,0,1,0,0,0,0,0,0
12,0,0,0,1,1,1,10,100,0,1.4214,27,0,0,0,0,0,1,0,0
16,0,0,0,0,1,0,9,81,0,1.981,30,0,0,1,0,0,0,0,0
12,0,1,0,1,1,1,10,100,1,1.4469,27,0,0,0,0,0,1,0,0
15,0,0,0,0,1,0,42,1764,0,3.1322,62,0,0,1,0,0,0,0,0
12,0,0,0,1,1,1,45,2025,0,0.8873,62,0,0,0,0,0,0,0,0
17,0,0,0,0,1,0,8,64,1,2.3514,30,0,0,0,0,1,0,0,0
15,0,0,0,0,1,0,32,1024,0,2.1691,52,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,1,1,0,1.2528,20,0,0,0,0,0,0,0,0
12,0,0,0,1,1,1,17,289,0,1.4271,34,0,0,0,0,1,0,0,0
14,0,0,0,0,1,0,10,100,0,1.7405,29,0,0,0,0,0,0,1,0
12,0,0,0,0,1,0,18,324,1,2.2266,35,0,0,0,0,0,0,0,0
12,0,0,0,1,0,0,10,100,1,0.9676,27,0,0,0,0,1,0,0,0
12,0,0,0,0,1,0,29,841,1,1.8326,46,1,0,0,0,0,0,0,0
12,0,0,0,1,0,0,39,1521,0,1.6094,56,1,0,0,0,1,0,0,0
12,0,0,0,1,1,1,31,961,0,1.1787,48,0,0,0,0,1,0,0,0
10,0,0,0,0,1,0,18,324,1,2.2513,33,1,0,0,0,0,0,0,0
12,0,1,0,1,1,1,14,196,1,2.0149,31,0,0,0,0,1,0,0,0
12,0,0,0,1,1,1,8,64,0,1.0116,25,0,0,0,0,0,1,0,0
12,1,0,0,0,0,0,9,81,0,1.6094,26,0,0,0,0,0,0,0,0
16,1,0,0,1,0,0,3,9,0,1.0296,24,0,0,0,0,1,0,0,0
9,1,1,0,1,1,1,24,576,0,0.9746,38,1,0,0,0,0,0,0,0
7,1,0,0,1,1,1,21,441,0,0.8109,33,1,0,0,0,0,0,0,0
12,1,0,0,0,1,0,15,225,0,1.2879,32,0,0,0,0,0,1,0,0
18,1,0,0,0,0,0,2,4,0,1.8005,25,0,0,0,0,0,0,1,0
